dTime,landscape,patch,date_opened,initial_count,total_count,total_w50,total_weight,pupae,larvae,dead adults
1,1,1,6/5/18,75,NA,0.1219,0.4771,0,0,0
1,1,2,6/5/18,0,4,NA,0.0099,0,0,0
1,1,3,6/5/18,0,0,0,0,0,0,0
1,1,4,6/5/18,0,0,0,0,0,0,0
1,1,5,6/5/18,0,0,0,0,0,0,0
1,1,6,6/5/18,0,0,0,0,0,0,0
1,2,1,6/5/18,75,NA,0.1254,0.41,0,4,1
1,2,2,6/5/18,0,1,NA,0.0021,0,0,0
1,2,3,6/5/18,0,0,0,0,0,0,0
1,2,4,6/5/18,0,0,0,0,0,0,0
1,2,5,6/5/18,0,0,0,0,0,0,0
1,2,6,6/5/18,0,0,0,0,0,0,0
1,3,1,6/5/18,75,NA,0.1275,0.4599,0,0,1
1,3,2,6/5/18,0,2,NA,0.005,0,0,0
1,3,3,6/5/18,0,1,NA,0.0025,0,0,0
1,3,4,6/5/18,0,0,0,0,0,0,0
1,3,5,6/5/18,0,0,0,0,0,0,0
1,3,6,6/5/18,0,0,0,0,0,0,0
1,4,1,6/5/18,75,NA,0.1253,0.3674,0,1,0
1,4,2,6/5/18,0,3,NA,0.0079,0,0,0
1,4,3,6/5/18,0,0,0,0,0,0,0
1,4,4,6/5/18,0,0,0,0,0,0,0
1,4,5,6/5/18,0,0,0,0,0,0,0
1,4,6,6/5/18,0,0,0,0,0,0,0
1,5,1,6/5/18,75,NA,0.129,0.4452,0,0,0
1,5,2,6/5/18,0,0,0,0,0,0,0
1,5,3,6/5/18,0,0,0,0,0,0,0
1,5,4,6/5/18,0,0,0,0,0,0,0
1,5,5,6/5/18,0,0,0,0,0,0,0
1,5,6,6/5/18,0,0,0,0,0,0,0
1,6,1,6/5/18,75,NA,0.1222,0.4558,0,0,0
1,6,2,6/5/18,0,2,NA,0.0051,0,0,0
1,6,3,6/5/18,0,0,0,0,0,0,0
1,6,4,6/5/18,0,0,0,0,0,0,0
1,6,5,6/5/18,0,0,0,0,0,0,0
1,6,6,6/5/18,0,0,0,0,0,0,0
6,1,1,6/5/18,75,NA,0.1198,0.4692,0,0,0
6,1,2,6/5/18,0,7,NA,0.018,0,0,0
6,1,3,6/5/18,0,1,NA,0.0026,0,0,0
6,1,4,6/5/18,0,0,0,0,0,0,0
6,1,5,6/5/18,0,0,0,0,0,0,0
6,1,6,6/5/18,0,0,0,0,0,0,0
6,2,1,6/5/18,75,NA,0.1278,0.3868,0,1,0
6,2,2,6/5/18,0,5,NA,0.0124,0,0,0
6,2,3,6/5/18,0,1,NA,0.0029,0,0,0
6,2,4,6/5/18,0,0,0,0,0,0,0
6,2,5,6/5/18,0,0,0,0,0,0,0
6,2,6,6/5/18,0,0,0,0,0,0,0
6,3,1,6/5/18,75,NA,0.1222,0.4039,0,0,0
6,3,2,6/5/18,0,8,NA,0.0201,0,0,0
6,3,3,6/5/18,0,0,0,0,0,0,0
6,3,4,6/5/18,0,0,0,0,0,0,0
6,3,5,6/5/18,0,0,0,0,0,0,0
6,3,6,6/5/18,0,0,0,0,0,0,0
6,5,1,6/5/18,75,NA,0.1268,0.4541,0,0,0
6,5,2,6/5/18,0,0,0,0,0,0,0
6,5,3,6/5/18,0,0,0,0,0,0,0
6,5,4,6/5/18,0,0,0,0,0,0,0
6,5,5,6/5/18,0,0,0,0,0,0,0
6,5,6,6/5/18,0,0,0,0,0,0,0
6,6,1,6/5/18,75,NA,0.1239,0.3703,0,0,0
6,6,2,6/5/18,0,1,NA,0.002,0,0,0
6,6,3,6/5/18,0,0,0,0,0,0,0
6,6,4,6/5/18,0,0,0,0,0,0,0
6,6,5,6/5/18,0,0,0,0,0,0,0
6,6,6,6/5/18,0,0,0,0,0,0,0
12,1,1,6/5/18,75,NA,0.1237,0.4203,0,0,0
12,1,2,6/5/18,0,8,NA,0.0206,0,0,0
12,1,3,6/5/18,0,1,NA,0.0031,0,0,0
12,1,4,6/5/18,0,0,0,0,0,0,0
12,1,5,6/5/18,0,0,0,0,0,0,0
12,1,6,6/5/18,0,0,0,0,0,0,0
12,2,1,6/5/18,75,NA,0.1266,0.4512,0,0,0
12,2,2,6/5/18,0,12,NA,0.03,0,0,0
12,2,3,6/5/18,0,2,NA,0.0059,0,0,0
12,2,4,6/5/18,0,0,0,0,0,0,0
12,2,5,6/5/18,0,0,0,0,0,0,0
12,2,6,6/5/18,0,0,0,0,0,0,0
12,3,1,6/5/18,75,NA,0.1268,0.4787,0,1,0
12,3,2,6/5/18,0,5,NA,0.0129,0,0,0
12,3,3,6/5/18,0,1,NA,0.0029,0,0,0
12,3,4,6/5/18,0,0,0,0,0,0,0
12,3,5,6/5/18,0,0,0,0,0,0,0
12,3,6,6/5/18,0,0,0,0,0,0,0
12,4,1,6/5/18,75,NA,0.1246,0.4083,0,1,0
12,4,2,6/5/18,0,16,NA,0.0403,0,0,0
12,4,3,6/5/18,0,1,NA,0.0024,0,0,0
12,4,4,6/5/18,0,0,0,0,0,0,0
12,4,5,6/5/18,0,0,0,0,0,0,0
12,4,6,6/5/18,0,0,0,0,0,0,0
12,5,1,6/5/18,75,NA,0.1218,0.4127,0,0,0
12,5,2,6/5/18,0,20,NA,0.0508,0,0,0
12,5,3,6/5/18,0,2,NA,0.0053,0,0,0
12,5,4,6/5/18,0,0,0,0,0,0,0
12,5,5,6/5/18,0,0,0,0,0,0,0
12,5,6,6/5/18,0,0,0,0,0,0,0
12,6,1,6/5/18,75,NA,0.1202,0.3711,0,0,0
12,6,2,6/5/18,0,12,NA,0.0322,0,0,0
12,6,3,6/5/18,0,0,0,0,0,0,0
12,6,4,6/5/18,0,0,0,0,0,0,0
12,6,5,6/5/18,0,0,0,0,0,0,0
12,6,6,6/5/18,0,0,0,0,0,0,0
24,1,1,6/5/18,75,NA,0.1268,0.4433,0,0,0
24,1,2,6/5/18,0,4,NA,0.0101,0,0,0
24,1,3,6/5/18,0,0,0,0,0,0,0
24,1,4,6/5/18,0,0,0,0,0,0,0
24,1,5,6/5/18,0,1,NA,0.0029,0,0,0
24,1,6,6/5/18,0,0,0,0,0,0,0
24,2,1,6/5/18,75,NA,0.1218,0.4315,0,0,0
24,2,2,6/5/18,0,10,NA,0.0247,0,0,0
24,2,3,6/5/18,0,0,0,0,0,0,0
24,2,4,6/5/18,0,0,0,0,0,0,0
24,2,5,6/5/18,0,0,0,0,0,0,0
24,2,6,6/5/18,0,0,0,0,0,0,0
24,3,1,6/5/18,75,NA,0.1204,0.3784,0,1,1
24,3,2,6/5/18,0,30,NA,0.0767,0,1,0
24,3,3,6/5/18,0,9,NA,0.0238,0,0,0
24,3,4,6/5/18,0,4,NA,0.0094,0,0,0
24,3,5,6/5/18,0,0,0,0,0,0,0
24,3,6,6/5/18,0,0,0,0,0,0,0
24,4,1,6/5/18,75,NA,0.1246,0.4556,0,0,1
24,4,2,6/5/18,0,49,NA,0.1188,0,0,0
24,4,3,6/5/18,0,7,NA,0.0185,0,0,0
24,4,4,6/5/18,0,0,0,0,0,0,0
24,4,5,6/5/18,0,0,0,0,0,0,0
24,4,6,6/5/18,0,0,0,0,0,0,0
24,5,1,6/5/18,75,NA,0.126,0.4556,0,0,0
24,5,2,6/5/18,0,19,NA,0.0483,0,0,0
24,5,3,6/5/18,0,1,NA,0.0027,0,1,0
24,5,4,6/5/18,0,0,0,0,0,0,0
24,5,5,6/5/18,0,0,0,0,0,0,0
24,5,6,6/5/18,0,0,0,0,0,0,0
24,6,1,6/5/18,75,NA,0.1249,0.4978,0,0,0
24,6,2,6/5/18,0,9,NA,0.0233,0,0,0
24,6,3,6/5/18,0,4,NA,0.0107,0,0,0
24,6,4,6/5/18,0,0,0,0,0,0,0
24,6,5,6/5/18,0,0,0,0,0,0,0
24,6,6,6/5/18,0,0,0,0,0,0,0
48,1,1,6/5/18,75,NA,0.1223,0.3914,0,0,0
48,1,2,6/5/18,0,26,NA,0.0646,0,0,0
48,1,3,6/5/18,0,6,NA,0.0157,0,0,0
48,1,4,6/5/18,0,0,0,0,0,0,0
48,1,5,6/5/18,0,0,0,0,0,0,0
48,1,6,6/5/18,0,0,0,0,0,0,0
48,2,1,6/5/18,75,NA,0.1237,0.2826,0,0,0
48,2,2,6/5/18,0,47,NA,0.1251,0,0,0
48,2,3,6/5/18,0,6,NA,0.0163,0,0,0
48,2,4,6/5/18,0,3,NA,0.0077,0,0,0
48,2,5,6/5/18,0,0,0,0,0,0,0
48,2,6,6/5/18,0,0,0,0,0,0,0
48,3,1,6/5/18,75,NA,0.1211,0.3373,0,0,0
48,3,2,6/5/18,0,49,NA,0.1231,0,0,0
48,3,3,6/5/18,0,9,NA,0.0239,0,0,0
48,3,4,6/5/18,0,1,NA,0.0029,0,0,0
48,3,5,6/5/18,0,0,0,0,0,0,0
48,3,6,6/5/18,0,0,0,0,0,0,0
48,4,1,6/5/18,75,NA,0.1213,0.2644,0,0,0
48,4,2,6/5/18,0,38,NA,0.0945,0,0,0
48,4,3,6/5/18,0,9,NA,0.0252,0,1,0
48,4,4,6/5/18,0,1,NA,0.0026,0,0,0
48,4,5,6/5/18,0,0,0,0,0,0,0
48,4,6,6/5/18,0,0,0,0,0,0,0
48,5,1,6/5/18,75,NA,0.1226,0.3856,0,0,0
48,5,2,6/5/18,0,24,NA,0.0608,0,0,0
48,5,3,6/5/18,0,5,NA,0.0133,0,0,0
48,5,4,6/5/18,0,0,0,0,0,0,0
48,5,5,6/5/18,0,0,0,0,0,0,0
48,5,6,6/5/18,0,0,0,0,0,0,0
48,6,1,6/5/18,75,NA,0.1471,0.4534,0,0,0
48,6,2,6/5/18,0,20,NA,0.0516,0,0,0
48,6,3,6/5/18,0,7,NA,0.0177,0,0,0
48,6,4,6/5/18,0,2,NA,0.005,0,0,0
48,6,5,6/5/18,0,0,0,0,0,0,0
48,6,6,6/5/18,0,0,0,0,0,0,0
1,7,1,6/12/18,75,NA,0.1294,0.7607,0,0,0
1,7,2,6/12/18,0,11,NA,0.0275,0,0,0
1,7,3,6/12/18,0,0,0,0,0,0,0
1,7,4,6/12/18,0,0,0,0,0,0,0
1,7,5,6/12/18,0,0,0,0,0,0,0
1,7,6,6/12/18,0,0,0,0,0,0,0
1,8,1,6/12/18,75,NA,0.1288,0.6671,0,0,0
1,8,2,6/12/18,0,9,NA,0.0227,0,0,0
1,8,3,6/12/18,0,0,0,0,0,0,0
1,8,4,6/12/18,0,0,0,0,0,0,0
1,8,5,6/12/18,0,0,0,0,0,0,0
1,8,6,6/12/18,0,0,0,0,0,0,0
1,9,1,6/12/18,75,NA,0.1307,0.601,0,0,1
1,9,2,6/12/18,0,6,NA,0.0156,0,0,0
1,9,3,6/12/18,0,0,0,0,0,0,0
1,9,4,6/12/18,0,0,0,0,0,0,0
1,9,5,6/12/18,0,0,0,0,0,0,0
1,9,6,6/12/18,0,0,0,0,0,0,0
1,10,1,6/12/18,75,NA,0.1294,0.6455,0,0,2
1,10,2,6/12/18,0,4,NA,0.011,0,0,0
1,10,3,6/12/18,0,2,NA,0.005,0,0,0
1,10,4,6/12/18,0,0,0,0,0,0,0
1,10,5,6/12/18,0,0,0,0,0,0,0
1,10,6,6/12/18,0,0,0,0,0,0,0
1,11,1,6/12/18,75,NA,0.1269,0.7751,0,1,1
1,11,2,6/12/18,0,5,NA,0.012,0,0,0
1,11,3,6/12/18,0,0,0,0,0,0,0
1,11,4,6/12/18,0,0,0,0,0,0,0
1,11,5,6/12/18,0,0,0,0,0,0,0
1,11,6,6/12/18,0,0,0,0,0,0,0
1,12,1,6/12/18,75,NA,0.1253,0.7351,0,1,0
1,12,2,6/12/18,0,1,NA,0.0025,0,0,0
1,12,3,6/12/18,0,0,0,0,0,0,0
1,12,4,6/12/18,0,0,0,0,0,0,0
1,12,5,6/12/18,0,0,0,0,0,0,0
1,12,6,6/12/18,0,0,0,0,0,0,0
6,4,1,6/12/18,75,NA,0.1304,0.6851,0,0,0
6,4,2,6/12/18,0,6,NA,0.015,0,0,0
6,4,3,6/12/18,0,0,0,0,0,0,0
6,4,4,6/12/18,0,0,0,0,0,0,0
6,4,5,6/12/18,0,0,0,0,0,0,0
6,4,6,6/12/18,0,0,0,0,0,0,0
6,7,1,6/12/18,75,NA,0.1255,0.5798,0,0,0
6,7,2,6/12/18,0,8,NA,0.0182,0,0,0
6,7,3,6/12/18,0,1,NA,0.0029,0,0,0
6,7,4,6/12/18,0,0,0,0,0,0,0
6,7,5,6/12/18,0,1,NA,0.0022,0,0,0
6,7,6,6/12/18,0,0,0,0,0,0,0
6,8,1,6/12/18,75,NA,0.1317,0.6288,0,1,0
6,8,2,6/12/18,0,2,NA,0.0048,0,0,0
6,8,3,6/12/18,0,0,0,0,0,0,0
6,8,4,6/12/18,0,0,0,0,0,0,0
6,8,5,6/12/18,0,0,0,0,0,0,0
6,8,6,6/12/18,0,0,0,0,0,0,0
6,9,1,6/12/18,75,NA,0.1362,0.5936,0,0,0
6,9,2,6/12/18,0,2,NA,0.0047,0,0,0
6,9,3,6/12/18,0,0,0,0,0,0,0
6,9,4,6/12/18,0,0,0,0,0,0,0
6,9,5,6/12/18,0,0,0,0,0,0,0
6,9,6,6/12/18,0,0,0,0,0,0,0
6,11,1,6/12/18,75,NA,0.1254,0.6555,0,0,0
6,11,2,6/12/18,0,8,NA,0.0184,0,0,0
6,11,3,6/12/18,0,0,0,0,0,0,0
6,11,4,6/12/18,0,0,0,0,0,0,0
6,11,5,6/12/18,0,0,0,0,0,0,0
6,11,6,6/12/18,0,0,0,0,0,0,0
6,12,1,6/12/18,75,NA,0.1362,0.5632,0,0,2
6,12,2,6/12/18,0,6,NA,0.0162,0,0,0
6,12,3,6/12/18,0,0,0,0,0,0,0
6,12,4,6/12/18,0,0,0,0,0,0,0
6,12,5,6/12/18,0,0,0,0,0,0,0
6,12,6,6/12/18,0,0,0,0,0,0,0
12,7,1,6/12/18,75,NA,0.13,0.7233,0,0,1
12,7,2,6/12/18,0,24,NA,0.0617,0,1,0
12,7,3,6/12/18,0,1,NA,0.0024,0,0,0
12,7,4,6/12/18,0,1,NA,0.0024,0,0,0
12,7,5,6/12/18,0,0,0,0,0,0,0
12,7,6,6/12/18,0,0,0,0,0,0,0
12,8,1,6/12/18,75,NA,0.1289,0.6239,0,0,1
12,8,2,6/12/18,0,15,NA,0.0401,0,0,0
12,8,3,6/12/18,0,2,NA,0.0051,0,0,0
12,8,4,6/12/18,0,0,0,0,0,0,0
12,8,5,6/12/18,0,0,0,0,0,0,0
12,8,6,6/12/18,0,0,0,0,0,0,0
12,9,1,6/12/18,75,NA,0.1241,0.7517,0,0,1
12,9,2,6/12/18,0,16,NA,0.0426,0,1,0
12,9,3,6/12/18,0,3,NA,0.008,0,0,0
12,9,4,6/12/18,0,0,0,0,0,0,0
12,9,5,6/12/18,0,0,0,0,0,0,0
12,9,6,6/12/18,0,0,0,0,0,0,0
12,10,1,6/12/18,75,NA,0.1324,0.5556,0,0,0
12,10,2,6/12/18,0,13,NA,0.0341,0,0,0
12,10,3,6/12/18,0,0,0,0,0,0,0
12,10,4,6/12/18,0,0,0,0,0,0,0
12,10,5,6/12/18,0,0,0,0,0,0,0
12,10,6,6/12/18,0,0,0,0,0,0,0
12,11,1,6/12/18,75,NA,0.1284,0.6854,0,0,0
12,11,2,6/12/18,0,11,NA,0.0287,0,0,0
12,11,3,6/12/18,0,0,0,0,0,0,0
12,11,4,6/12/18,0,0,0,0,0,0,0
12,11,5,6/12/18,0,0,0,0,0,0,0
12,11,6,6/12/18,0,0,0,0,0,0,0
12,12,1,6/12/18,75,NA,0.1287,0.319,0,0,1
12,12,2,6/12/18,0,NA,0.1299,0.3013,0,0,0
12,12,3,6/12/18,0,16,NA,0.0419,0,0,0
12,12,4,6/12/18,0,1,NA,0.0025,0,0,0
12,12,5,6/12/18,0,0,0,0,0,0,0
12,12,6,6/12/18,0,0,0,0,0,0,0
24,7,1,6/12/18,75,NA,0.1265,0.6971,0,0,2
24,7,2,6/12/18,0,24,NA,0.0624,0,0,0
24,7,3,6/12/18,0,1,NA,0.0025,0,0,0
24,7,4,6/12/18,0,1,NA,0.0029,0,0,0
24,7,5,6/12/18,0,0,0,0,0,0,0
24,7,6,6/12/18,0,0,0,0,0,0,0
24,8,1,6/12/18,75,NA,0.1287,0.5197,0,0,0
24,8,2,6/12/18,0,41,NA,0.1024,0,0,0
24,8,3,6/12/18,0,4,NA,0.0112,0,0,0
24,8,4,6/12/18,0,1,NA,0.0024,0,0,0
24,8,5,6/12/18,0,0,0,0,0,0,0
24,8,6,6/12/18,0,0,0,0,0,0,0
24,9,1,6/12/18,75,NA,0.131,0.5313,0,0,1
24,9,2,6/12/18,0,12,NA,0.0315,0,0,0
24,9,3,6/12/18,0,1,NA,0.0028,0,1,0
24,9,4,6/12/18,0,0,0,0,0,0,0
24,9,5,6/12/18,0,1,NA,0.0022,0,0,0
24,9,6,6/12/18,0,0,0,0,0,0,0
24,10,1,6/12/18,75,NA,0.1355,0.5047,0,0,2
24,10,2,6/12/18,0,51,0.1326,0.1352,0,0,0
24,10,3,6/12/18,0,3,NA,0.0083,0,0,0
24,10,4,6/12/18,0,0,0,0,0,0,0
24,10,5,6/12/18,0,0,0,0,0,0,0
24,10,6,6/12/18,0,1,NA,0.0029,0,0,0
24,11,1,6/12/18,75,NA,0.1261,0.6767,0,0,2
24,11,2,6/12/18,0,46,NA,0.1206,0,0,0
24,11,3,6/12/18,0,3,NA,0.0083,0,0,0
24,11,4,6/12/18,0,0,0,0,0,0,0
24,11,5,6/12/18,0,0,0,0,0,0,0
24,11,6,6/12/18,0,0,0,0,0,0,0
24,12,1,6/12/18,75,NA,0.1267,0.6309,0,0,0
24,12,2,6/12/18,0,27,NA,0.0707,0,0,0
24,12,3,6/12/18,0,0,0,0,0,0,0
24,12,4,6/12/18,0,1,NA,0.0025,0,0,0
24,12,5,6/12/18,0,0,0,0,0,0,0
24,12,6,6/12/18,0,0,0,0,0,0,0
48,7,1,6/12/18,75,NA,0.126,0.637,0,0,0
48,7,2,6/12/18,0,54,0.1291,0.14,0,0,0
48,7,3,6/12/18,0,3,NA,0.0076,0,0,0
48,7,4,6/12/18,0,0,0,0,0,0,0
48,7,5,6/12/18,0,0,0,0,0,0,0
48,7,6,6/12/18,0,0,0,0,0,0,0
48,8,1,6/12/18,75,NA,0.1225,0.4208,0,0,0
48,8,2,6/12/18,0,37,NA,0.0982,0,0,0
48,8,3,6/12/18,0,4,NA,0.0102,0,0,0
48,8,4,6/12/18,0,0,0,0,0,0,0
48,8,5,6/12/18,0,1,NA,0.0023,0,0,0
48,8,6,6/12/18,0,0,0,0,0,0,0
48,9,1,6/12/18,75,NA,0.1237,0.556,0,0,2
48,9,2,6/12/18,0,39,NA,0.0975,0,0,0
48,9,3,6/12/18,0,4,NA,0.0117,0,0,0
48,9,4,6/12/18,0,0,0,0,0,0,0
48,9,5,6/12/18,0,0,0,0,0,0,0
48,9,6,6/12/18,0,0,0,0,0,0,0
48,10,1,6/12/18,75,NA,0.1258,0.6218,0,0,1
48,10,2,6/12/18,0,49,NA,0.1239,0,0,0
48,10,3,6/12/18,0,3,NA,0.0084,0,0,0
48,10,4,6/12/18,0,0,0,0,0,0,0
48,10,5,6/12/18,0,0,0,0,0,0,0
48,10,6,6/12/18,0,0,0,0,0,0,0
48,11,1,6/12/18,75,NA,0.1301,0.5512,0,0,1
48,11,2,6/12/18,0,53,0.1295,0.1376,0,0,0
48,11,3,6/12/18,0,1,NA,0.0031,0,0,0
48,11,4,6/12/18,0,0,0,0,0,1,0
48,11,5,6/12/18,0,0,0,0,0,0,0
48,11,6,6/12/18,0,0,0,0,0,0,0
48,12,1,6/12/18,75,NA,0.125,0.6078,0,0,0
48,12,2,6/12/18,0,39,NA,0.0987,0,0,0
48,12,3,6/12/18,0,7,NA,0.0188,0,0,0
48,12,4,6/12/18,0,0,0,0,0,0,0
48,12,5,6/12/18,0,0,0,0,0,0,0
48,12,6,6/12/18,0,0,0,0,0,0,0